filename,date,coverage_percent,danger
P131-2018011416.jpg,2018-01-14 16:00,92.29,0
P131-2018040916.jpg,2018-04-09 16:00,92.81,0
P132-2017042416.jpg,2017-04-24 16:00,92.81,0
P132-2018032016.jpg,2018-03-20 16:00,92.81,0
P132-2018042416.jpg,2018-04-24 16:00,92.81,0
P133-2018012916.jpg,2018-01-29 16:00,92.29,0
P133-2018040916.jpg,2018-04-09 16:00,92.81,0
P134-2017041717.jpg,2017-04-17 17:00,92.29,0
P134-2018040916.jpg,2018-04-09 16:00,92.81,0
P134-2018071616.jpg,2018-07-16 16:00,92.29,0
P135-2017020617.jpg,2017-02-06 17:00,84.75,0
P135-2017041717.jpg,2017-04-17 17:00,92.81,0
P135-2017042416.jpg,2017-04-24 16:00,92.81,0
P135-2018012916.jpg,2018-01-29 16:00,92.29,0
P135-2018061816.jpg,2018-06-18 16:00,93.78,0
P136-2017020617.jpg,2017-02-06 17:00,92.78,0
P136-2017041717.jpg,2017-04-17 17:00,92.81,0
P136-2018012916.jpg,2018-01-29 16:00,92.29,0
P136-2018032016.jpg,2018-03-20 16:00,92.81,0
P136-2018040916.jpg,2018-04-09 16:00,92.29,0
P136-2018042416.jpg,2018-04-24 16:00,92.29,0
P137-2017032817.jpg,2017-03-28 17:00,92.81,0
P137-2018012916.jpg,2018-01-29 16:00,92.81,0
P137-2018042416.jpg,2018-04-24 16:00,92.81,0
P138-2018012217.jpg,2018-01-22 17:00,92.81,0
P139-2017032817.jpg,2017-03-28 17:00,92.81,0
P139-2018022617.jpg,2018-02-26 17:00,92.85,0
P139-2018042216.jpg,2018-04-22 16:00,92.81,0
P14-2016111317.jpg,2016-11-13 17:00,92.81,0
P14-2017012917.jpg,2017-01-29 17:00,92.81,0
P14-2017071117.jpg,2017-07-11 17:00,87.33,0
P14-2018031817.jpg,2018-03-18 17:00,92.29,0
P14-2018032517.jpg,2018-03-25 17:00,92.29,0
P140-2016020217.jpg,2016-02-02 17:00,92.81,0
P140-2017020617.jpg,2017-02-06 17:00,92.09,0
P140-2017032817.jpg,2017-03-28 17:00,92.54,0
P141-2016062117.jpg,2016-06-21 17:00,85.37,0
P141-2017050717.jpg,2017-05-07 17:00,91.83,0
P141-2018030617.jpg,2018-03-06 17:00,92.81,0
P141-2018072417.jpg,2018-07-24 17:00,63.27,0
P142-2018022617.jpg,2018-02-26 17:00,92.81,0
P142-2018030617.jpg,2018-03-06 17:00,92.81,0
P142-2018042216.jpg,2018-04-22 16:00,92.81,0
P142-2018070117.jpg,2018-07-01 17:00,47.93,1
P142-2018072417.jpg,2018-07-24 17:00,26.65,1
P143-2016020217.jpg,2016-02-02 17:00,92.58,0
P143-2017013017.jpg,2017-01-30 17:00,92.81,0
P143-2017021917.jpg,2017-02-19 17:00,92.81,0
P143-2018022617.jpg,2018-02-26 17:00,92.81,0
P143-2018030617.jpg,2018-03-06 17:00,92.81,0
P143-2018031817.jpg,2018-03-18 17:00,92.81,0
P143-2018042216.jpg,2018-04-22 16:00,92.81,0
P143-2018052217.jpg,2018-05-22 17:00,8.68,1
P143-2018070117.jpg,2018-07-01 17:00,4.28,1
P143-2018071616.jpg,2018-07-16 16:00,3.09,1
P143-2018072417.jpg,2018-07-24 17:00,2.91,1
P144-2018062417.jpg,2018-06-24 17:00,86.91,0
P144-2018071616.jpg,2018-07-16 16:00,58.64,1
P145-2018061217.jpg,2018-06-12 17:00,92.29,0
P145-2018062417.jpg,2018-06-24 17:00,93.73,0
P145-2018071717.jpg,2018-07-17 17:00,92.29,0
P146-2018041517.jpg,2018-04-15 17:00,92.81,0
P146-2018071717.jpg,2018-07-17 17:00,58.78,1
P146-2018072417.jpg,2018-07-24 17:00,38.07,1
P147-2016060717.jpg,2016-06-07 17:00,51.69,1
P147-2017031417.jpg,2017-03-14 17:00,92.81,0
P147-2018071717.jpg,2018-07-17 17:00,60.58,0
P148-2017020716.jpg,2017-02-07 16:00,92.81,0
P148-2018042316.jpg,2018-04-23 16:00,92.29,0
P148-2018072216.jpg,2018-07-22 16:00,87.09,0
P149-2016030716.jpg,2016-03-07 16:00,92.81,0
P149-2018062516.jpg,2018-06-25 16:00,50.52,1
P15-2018031917.jpg,2018-03-19 17:00,92.81,0
P15-2018050817.jpg,2018-05-08 17:00,89.88,0
P15-2018072217.jpg,2018-07-22 17:00,77.03,0
P150-2017010816.jpg,2017-01-08 16:00,92.81,0
P150-2018022716.jpg,2018-02-27 16:00,92.29,0
P150-2018050816.jpg,2018-05-08 16:00,89.41,0
P151-2018021216.jpg,2018-02-12 16:00,92.81,0
P151-2018062516.jpg,2018-06-25 16:00,79.68,0
P152-2017010816.jpg,2017-01-08 16:00,92.13,0
P152-2017041116.jpg,2017-04-11 16:00,89.33,0
P152-2018060516.jpg,2018-06-05 16:00,92.29,0
P153-2018012116.jpg,2018-01-21 16:00,92.81,0
P153-2018062516.jpg,2018-06-25 16:00,62.78,0
P154-2017041116.jpg,2017-04-11 16:00,92.81,0
P155-2018062516.jpg,2018-06-25 16:00,78.02,0
P156-2017022016.jpg,2017-02-20 16:00,92.29,0
P156-2017050116.jpg,2017-05-01 16:00,92.81,0
P156-2018050116.jpg,2018-05-01 16:00,92.81,0
P157-2016041916.jpg,2016-04-19 16:00,92.81,0
P157-2017022016.jpg,2017-02-20 16:00,92.81,0
P157-2017041116.jpg,2017-04-11 16:00,92.81,0
P157-2017042416.jpg,2017-04-24 16:00,92.81,0
P158-2017052116.jpg,2017-05-21 16:00,92.29,0
P158-2018010916.jpg,2018-01-09 16:00,92.81,0
P158-2018011416.jpg,2018-01-14 16:00,92.81,0
P158-2018050116.jpg,2018-05-01 16:00,92.81,0
P158-2018071016.jpg,2018-07-10 16:00,93.77,0
P159-2017041116.jpg,2017-04-11 16:00,92.29,0
P159-2018010916.jpg,2018-01-09 16:00,92.81,0
P16-2018012117.jpg,2018-01-21 17:00,92.7,0
P16-2018041617.jpg,2018-04-16 17:00,92.81,0
P160-2017013116.jpg,2017-01-31 16:00,92.81,0
P160-2018010916.jpg,2018-01-09 16:00,92.81,0
